0 ZPM  Zero Pose    0 0 0               0 0 0 0
1 3way A      B     -3.616 -0.865 0.847 0.05       0 0 0 0
2 3way B      C     -3.056 -0.272 0.05      0 0 0 0
3 3way C      C     -2.238 0.272 0.05      0 0 0 0
4 3way D      C     -1.641 -1.567 0.05      0 0 1.55 0
4 Train A      C     -1.279 -1.573 0.05      0 0 1.55 0
4 Train B      C     -1.279 -0.875 0.05      0 0 1.55 0
4 Train C      C     -0.936 -0.875 0.05      0 0 1.55 0
4 Train D      C     -0.936 -1.573 0.05      0 0 1.55 0
4 4way A      C     1.966 -0.799 0.05      0 0 1.55 0
4 4way B      C     4.404 -1.572 0.05      0 0 1.55 0
4 4way C      C     1.953   1.499 0.05      0 0 1.55 0
4 4way D      C     4.343 0.776 0.05      0 0 1.55 0
4 Start A      C     -4.168 -1.389 0.05      0 0 1.55 0
4 Start B      C     -4.168 -1.059 0.05      0 0 1.55 0
5 Park A      A     0  0  1.0  0 0 0 0.05
6 Park B      A     1.0  0  0  0 0 0 0.05
