0 ZPM  Zero Pose    0 0 0               0 0 0 0
1 3way A      B     -3.143 0.758 0.05       0 0 0 0
2 3way B      C     -2.583 0.165 0.05      0 0 0 0
3 3way C      C     -1.765 0.165 0.05      0 0 0 0
4 3way D      C     -1.168 1.46 0.05      0 0 1.55 0
5 Train A      C     -0.806 1.467 0.05      0 0 1.55 0
6 Train B      C     -0.806 0.768 0.05      0 0 1.55 0
7 Train C      C     -0.464 0.768 0.05      0 0 1.55 0
8 Train D      C     -0.464 1.467 0.05      0 0 1.55 0
9 4way A      C     1.219 0.693 0.05      0 0 1.55 0
10 4way B      C     3.658 1.465 0.05      0 0 1.55 0
11 4way C      C     1.207   -1.605 0.05      0 0 1.55 0
12 4way D      C     3.607 -0.882 0.05         0 0 1.55 0
13 Start A      C     -3.696 1.283 0.05      0 0 1.55 0
14 Start B      C     -3.696 .952 0.05      0 0 1.55 0
15 Park A      A     0  0  1.0                0 0 0 0.05
16 Park B      A     1.0  0  0  0              0 0 0.05
