0 ZPM  Zero Pose    0 0 0               0 0 0 0
1 3way A      B     -5.544 0.847 0.05       0 0 0 0
2 3way B      C     -4.983 0.254 0.05      0 0 0 0
3 3way C      C     -4.166 0.254 0.05      0 0 0 0
4 3way D      C     -3.569 1.549 0.05      0 0 1.55 0
5 Train A      C     -3.207 1.556 0.05      0 0 1.55 0
6 Train B      C     -3.207 .857 0.05      0 0 1.55 0
7 Train C      C     -2.864 0.857 0.05      0 0 1.55 0
8 Train D      C     -2.864 1.556 0.05      0 0 1.55 0
9 4way A      C     -1.334 0.732 0.05      0 0 1.55 0
10 4way B      C     1.245 1.512 0.05      0 0 1.55 0
11 4way C      C     -1.13   -1.438 0.05      0 0 1.55 0
12 4way D      C     1.359 -0.748 0.05         0 0 1.55 0
13 Start A      C     -6.096 1.372 0.05      0 0 1.55 0
14 Start B      C     -6.096 1.041 0.05      0 0 1.55 0
15 Park A      A     0  0  1.0                0 0 0 0.05
16 Park B      A     1.0  0  0  0              0 0 0.05
