0 ZPM  Zero Pose    0 0 0               0 0 0 0
1 3way A      B     -2.508 0.834 0.05       0 0 0 0
2 3way B      C     -1.948 0.241 0.05      0 0 0 0
3 3way C      C     -1.13 0.241 0.05      0 0 0 0
4 3way D      C     -.533 1.537 0.05      0 0 1.55 0
5 4way A      C     .635 0.769 0.05      0 0 1.55 0
6 4way B      C     3.073 1.541 0.05      0 0 1.55 0
7 4way C      C     .622   -1.529 0.05      0 0 1.55 0
8 4way D      C     3.023 -0.806 0.05         0 0 1.55 0
9 Start A      C     -3.061 1.359 0.05      0 0 1.55 0
10 Start B      C     -3.061 1.029 0.05      0 0 1.55 0
11 Park A      A     0  0  1.0                0 0 0 0.05
12 Park B      A     1.0  0  0  0              0 0 0.05
