0 ZPM  Zero Pose    0 0 0               0 0 0 0
1 3way A      B     -4.324 0.847 0.05       0 0 0 0
2 3way B      C     -3.764 0.254 0.05      0 0 0 0
3 3way C      C     -2.946 0.254 0.05      0 0 0 0
4 3way D      C     -2.35 1.549 0.05      0 0 1.55 0
5 4way A      C     -1.334 0.732 0.05      0 0 1.55 0
6 4way B      C     1.245 1.512 0.05      0 0 1.55 0
7 4way C      C     -1.13   -1.438 0.05      0 0 1.55 0
8 4way D      C     1.359 -0.748 0.05         0 0 1.55 0
9 Start A      C     -4.877 1.372 0.05      0 0 1.55 0
10 Start B      C     -4.877 1.041 0.05      0 0 1.55 0
11 Park A      A     0  0  1.0                0 0 0 0.05
12 Park B      A     1.0  0  0  0              0 0 0.05
